nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.861892035182152,0.03510322207432906,0.861892035182152,0.03510322207432906,0.9279167652368587,0.017113656722052704
2,0.8728448275862067,0.0,0.8421551724137931,0.023867792566503062,0.9279167652368587,0.017113656722052704
3,0.8854389173509883,0.03328827740631306,0.881253707842043,0.03901762914389987,0.9279167652368587,0.017113656722052704
4,0.914503872505035,0.01827008563676446,0.8721158491926546,0.0199936305782389,0.9279167652368587,0.017113656722052704
5,0.9015693083606833,0.02283288233697237,0.8981135179307639,0.03458173702375211,0.9279167652368587,0.017113656722052704
6,0.9143236183533798,0.013767888073356924,0.9187767959733155,0.023495676270239428,0.9279167652368587,0.017113656722052704
7,0.9033882414968455,0.02491387220800306,0.9072965640761197,0.02210222237188585,0.9279167652368587,0.017113656722052704
8,0.9356169137090126,0.01870223598439231,0.9270971462069456,0.021315712653713282,0.9279167652368587,0.017113656722052704
9,0.9217425475720576,0.020415480605036854,0.9141943618790569,0.026931060901794385,0.9279167652368587,0.017113656722052704
10,0.9458901190178859,0.019005289738801574,0.9362012424376109,0.021896528494667777,0.9279167652368587,0.017113656722052704
11,0.9094701674824814,0.018695697472186773,0.9060736159660724,0.018306966852774574,0.9279167652368587,0.017113656722052704
12,0.923543012645864,0.0213313923935009,0.9214619245465729,0.02775544552695049,0.9279167652368587,0.017113656722052704
