,pclass,sex,age,sibsp,parch,height,weight,femur,tibia
0,1.0,0,29.0,0.0,0.0,152.55492627181977,151.63219999808743,40.98453792895617,33.07012171420909
1,1.0,1,0.9167,1.0,2.0,79.5001488578724,80.09948656230333,-0.9605591181529755,0.3519145024715497
2,1.0,0,2.0,1.0,2.0,74.73547137347899,74.11995517165522,0.9745354105290402,-0.016381218758934557
3,1.0,1,30.0,1.0,2.0,161.83200971886725,161.021802847633,42.8329838930145,35.00337109379935
4,1.0,0,25.0,1.0,2.0,141.48537167842022,141.7886127220368,35.29325022026747,28.363678434702475
5,1.0,1,48.0,0.0,0.0,160.1526842240325,158.86377752409678,41.93972565108112,34.296584269373945
6,1.0,0,63.0,1.0,0.0,148.9842650785976,145.51299720200612,39.14872240544863,31.55198345178469
7,1.0,1,39.0,0.0,0.0,166.5847569008202,166.78737900209896,45.3610409046916,37.00368556431827
8,1.0,0,53.0,2.0,0.0,149.23788673291034,150.13049988229716,39.27911914288449,31.659815787802017
9,1.0,1,71.0,0.0,0.0,151.73068506284397,152.44945160850872,37.45993886321488,30.751971827796286
10,1.0,1,47.0,1.0,0.0,162.32733189529887,161.6419286054993,43.096453135797276,35.211840023273936
11,1.0,0,18.0,1.0,0.0,150.74282555305294,148.07410581387933,40.05286660825344,32.29967072833884
12,1.0,0,24.0,0.0,0.0,157.2058470483916,155.581467586642,43.37575683721933,35.047554017173304
13,1.0,0,26.0,0.0,0.0,156.12868968379374,156.3079005251674,42.821948423544335,34.589578947191214
14,1.0,1,80.0,0.0,0.0,152.8022034044432,150.8933668345352,38.02989542789532,31.20294756079259
15,1.0,1,28.0,0.0,0.0,157.9971451761042,159.42254873351143,40.793162327715,33.38937086536372
16,1.0,1,24.0,0.0,1.0,163.02436087068662,162.44039110101647,43.467213229088635,35.50520238665262
17,1.0,0,50.0,0.0,1.0,151.87557793711818,150.87636460546395,40.63525857949521,32.78128313652984
18,1.0,0,32.0,0.0,0.0,155.0074543602479,151.5902823427688,42.24547782017886,34.112863248404715
19,1.0,1,36.0,0.0,0.0,163.113446651596,164.30132419806395,43.51459928276384,35.54269640218687
20,1.0,1,37.0,1.0,1.0,171.9796226827771,174.14012662758162,48.23065036317931,39.27425197086578
21,1.0,0,47.0,1.0,1.0,150.1443606672281,150.7447826271691,39.74517257955173,32.0452213721208
22,1.0,1,26.0,0.0,0.0,160.75304999714834,161.57680363343087,42.25906914741933,34.54926346681327
23,1.0,0,42.0,0.0,0.0,145.77229013640255,146.40923078312224,37.49732140689077,30.18634784710993
24,1.0,0,29.0,0.0,0.0,150.44984945114416,153.31486044746433,39.90223622166795,32.17510605915994
25,1.0,1,25.0,0.0,0.0,162.77526461375908,162.89868521582213,43.33471522008462,35.40036389467975
26,1.0,1,25.0,1.0,0.0,160.63432830751236,159.62988382001447,42.19591931250658,34.49929642572069
27,1.0,0,19.0,1.0,0.0,153.68075870198982,155.18669823373594,41.56337208328525,33.54879196513173
28,1.0,0,35.0,0.0,0.0,145.13618283633602,144.66436629070995,37.17027395184371,29.915894063068038
29,1.0,1,28.0,0.0,0.0,154.8771009873669,155.54301199709593,39.1335643549824,32.076220954279
30,1.0,1,45.0,0.0,0.0,157.84716049667247,157.09235027962836,40.71338324291089,33.32624600028303
31,1.0,1,40.0,0.0,0.0,164.7288131772315,164.91056695385788,44.373836796399736,36.22256446853178
